MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
584,526.4,512,497.6,497.6,483.2,483.2,483.2,483.2,483.2
670.4,569.6,540.8,526.4,512,497.6,497.6,497.6,497.6,497.6
771.2,627.2,569.6,555.2,526.4,512,512,512,497.6,497.6
872,670.4,612.8,569.6,540.8,526.4,526.4,512,512,512
972.8,728,641.6,598.4,555.2,540.8,526.4,526.4,512,512
1073.6,771.2,670.4,627.2,569.6,555.2,540.8,540.8,526.4,526.4
1174.4,828.8,713.6,656,598.4,569.6,555.2,540.8,540.8,526.4
1260.8,872,742.4,670.4,612.8,569.6,569.6,555.2,540.8,540.8
1361.6,915.2,771.2,699.2,627.2,584,569.6,569.6,555.2,540.8
1462.4,972.8,800,728,641.6,598.4,584,569.6,555.2,555.2
1563.2,1016,843.2,742.4,656,612.8,598.4,584,569.6,555.2
1664,1073.6,872,771.2,670.4,627.2,612.8,598.4,569.6,569.6
1764.8,1116.8,900.8,800,684.8,641.6,612.8,598.4,584,569.6
1851.2,1160,929.6,814.4,699.2,641.6,627.2,612.8,584,584
1952,1217.6,972.8,843.2,728,656,641.6,627.2,598.4,584
2052.8,1260.8,1001.6,872,742.4,670.4,656,627.2,612.8,598.4
2153.6,1318.4,1030.4,900.8,756.8,684.8,656,641.6,612.8,598.4
2254.4,1361.6,1073.6,915.2,771.2,699.2,670.4,656,627.2,612.8
2355.2,1419.2,1102.4,944,785.6,713.6,684.8,670.4,627.2,612.8
2441.6,1462.4,1131.2,972.8,800,728,699.2,670.4,641.6,627.2
2542.4,1505.6,1160,987.2,814.4,728,699.2,684.8,641.6,627.2
2643.2,1563.2,1203.2,1016,843.2,742.4,713.6,699.2,656,641.6
2744,1606.4,1232,1044.8,857.6,756.8,728,699.2,670.4,641.6
2844.8,1664,1260.8,1073.6,872,771.2,742.4,713.6,670.4,656
2945.6,1707.2,1304,1088,886.4,785.6,756.8,728,684.8,656
3032,1750.4,1332.8,1116.8,900.8,800,756.8,728,684.8,670.4
3132.8,1808,1361.6,1145.6,915.2,814.4,771.2,742.4,699.2,670.4
3233.6,1851.2,1390.4,1160,929.6,814.4,785.6,756.8,699.2,684.8
3334.4,1908.8,1433.6,1188.8,958.4,828.8,800,756.8,713.6,684.8
3435.2,1952,1462.4,1217.6,972.8,843.2,800,771.2,728,699.2
3536,2009.6,1491.2,1246.4,987.2,857.6,814.4,785.6,728,699.2
3622.4,2052.8,1520,1260.8,1001.6,872,828.8,785.6,742.4,713.6
3723.2,2096,1563.2,1289.6,1016,886.4,843.2,800,742.4,713.6
3824,2153.6,1592,1318.4,1030.4,900.8,843.2,814.4,756.8,728
3924.8,2196.8,1620.8,1332.8,1044.8,900.8,857.6,814.4,756.8,728
4025.6,2254.4,1664,1361.6,1073.6,915.2,872,828.8,771.2,742.4
4126.4,2297.6,1692.8,1390.4,1088,929.6,886.4,843.2,785.6,742.4
4227.2,2355.2,1721.6,1419.2,1102.4,944,886.4,857.6,785.6,756.8
4313.6,2398.4,1750.4,1433.6,1116.8,958.4,900.8,857.6,800,771.2
4414.4,2441.6,1793.6,1462.4,1131.2,972.8,915.2,872,800,771.2
4515.2,2499.2,1822.4,1491.2,1145.6,987.2,929.6,886.4,814.4,785.6
4616,2542.4,1851.2,1505.6,1160,987.2,929.6,886.4,814.4,785.6
4716.8,2600,1894.4,1534.4,1188.8,1001.6,944,900.8,828.8,800
4817.6,2643.2,1923.2,1563.2,1203.2,1016,958.4,915.2,843.2,800
4904,2686.4,1952,1577.6,1217.6,1030.4,972.8,915.2,843.2,814.4
5004.8,2744,1980.8,1606.4,1232,1044.8,972.8,929.6,857.6,814.4
5105.6,2787.2,2024,1635.2,1246.4,1059.2,987.2,944,857.6,828.8
5206.4,2844.8,2052.8,1664,1260.8,1073.6,1001.6,944,872,828.8
5307.2,2888,2081.6,1678.4,1275.2,1073.6,1016,958.4,872,843.2
5408,2945.6,2124.8,1707.2,1304,1088,1030.4,972.8,886.4,843.2
5494.4,2988.8,2153.6,1736,1318.4,1102.4,1030.4,972.8,900.8,857.6
5595.2,3032,2182.4,1750.4,1332.8,1116.8,1044.8,987.2,900.8,857.6
5696,3089.6,2211.2,1779.2,1347.2,1131.2,1059.2,1001.6,915.2,872
5796.8,3132.8,2254.4,1808,1361.6,1145.6,1073.6,1001.6,915.2,872
5897.6,3190.4,2283.2,1836.8,1376,1160,1073.6,1016,929.6,886.4
5998.4,3233.6,2312,1851.2,1390.4,1160,1088,1030.4,929.6,886.4
6084.8,3276.8,2340.8,1880,1404.8,1174.4,1102.4,1030.4,944,900.8
6185.6,3334.4,2384,1908.8,1433.6,1188.8,1116.8,1044.8,958.4,900.8
6286.4,3377.6,2412.8,1923.2,1448,1203.2,1116.8,1059.2,958.4,915.2
6387.2,3435.2,2441.6,1952,1462.4,1217.6,1131.2,1073.6,972.8,915.2
6488,3478.4,2484.8,1980.8,1476.8,1232,1145.6,1073.6,972.8,929.6
6588.8,3536,2513.6,2009.6,1491.2,1246.4,1160,1088,987.2,929.6
6675.2,3579.2,2542.4,2024,1505.6,1246.4,1160,1102.4,987.2,944
6776,3622.4,2571.2,2052.8,1520,1260.8,1174.4,1102.4,1001.6,944
6876.8,3680,2614.4,2081.6,1548.8,1275.2,1188.8,1116.8,1016,958.4
6977.6,3723.2,2643.2,2096,1563.2,1289.6,1203.2,1131.2,1016,958.4
7078.4,3780.8,2672,2124.8,1577.6,1304,1203.2,1131.2,1030.4,972.8
7179.2,3824,2715.2,2153.6,1592,1318.4,1217.6,1145.6,1030.4,972.8
7265.6,3867.2,2744,2168,1606.4,1318.4,1232,1160,1044.8,987.2
