MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
728,598.4,555.2,540.8,512,512,497.6,497.6,497.6,497.6
972.8,728,641.6,598.4,555.2,540.8,526.4,526.4,512,512
1217.6,843.2,728,656,598.4,569.6,555.2,555.2,540.8,526.4
1462.4,972.8,800,728,641.6,598.4,584,569.6,555.2,555.2
1707.2,1088,886.4,785.6,684.8,627.2,612.8,598.4,584,569.6
1952,1217.6,972.8,843.2,728,656,641.6,627.2,598.4,584
2196.8,1332.8,1044.8,900.8,756.8,684.8,670.4,641.6,612.8,598.4
2441.6,1462.4,1131.2,972.8,800,728,699.2,670.4,641.6,627.2
2686.4,1577.6,1217.6,1030.4,843.2,756.8,728,699.2,656,641.6
2931.2,1707.2,1289.6,1088,886.4,785.6,742.4,728,684.8,656
3190.4,1836.8,1376,1160,929.6,814.4,771.2,742.4,699.2,684.8
3435.2,1952,1462.4,1217.6,972.8,843.2,800,771.2,728,699.2
3680,2081.6,1548.8,1275.2,1016,872,828.8,800,742.4,713.6
3924.8,2196.8,1620.8,1332.8,1044.8,900.8,857.6,814.4,756.8,728
4169.6,2326.4,1707.2,1404.8,1088,944,886.4,843.2,785.6,756.8
4414.4,2441.6,1793.6,1462.4,1131.2,972.8,915.2,872,800,771.2
4659.2,2571.2,1865.6,1520,1174.4,1001.6,944,900.8,828.8,785.6
4904,2686.4,1952,1577.6,1217.6,1030.4,972.8,915.2,843.2,814.4
5148.8,2816,2038.4,1649.6,1260.8,1059.2,1001.6,944,872,828.8
5393.6,2931.2,2110.4,1707.2,1289.6,1088,1016,972.8,886.4,843.2
5652.8,3060.8,2196.8,1764.8,1332.8,1116.8,1044.8,987.2,900.8,857.6
5897.6,3190.4,2283.2,1836.8,1376,1160,1073.6,1016,929.6,886.4
6142.4,3305.6,2369.6,1894.4,1419.2,1188.8,1102.4,1044.8,944,900.8
6387.2,3435.2,2441.6,1952,1462.4,1217.6,1131.2,1073.6,972.8,915.2
6632,3550.4,2528,2009.6,1505.6,1246.4,1160,1088,987.2,944
6876.8,3680,2614.4,2081.6,1548.8,1275.2,1188.8,1116.8,1016,958.4
7121.6,3795.2,2686.4,2139.2,1577.6,1304,1217.6,1145.6,1030.4,972.8
7366.4,3924.8,2772.8,2196.8,1620.8,1332.8,1246.4,1160,1044.8,987.2
7611.2,4040,2859.2,2254.4,1664,1361.6,1275.2,1188.8,1073.6,1016
7856,4169.6,2931.2,2326.4,1707.2,1404.8,1289.6,1217.6,1088,1030.4
8100.8,4284.8,3017.6,2384,1750.4,1433.6,1318.4,1232,1116.8,1044.8
8360,4414.4,3104,2441.6,1793.6,1462.4,1347.2,1260.8,1131.2,1073.6
